created,request_id,endpoint,request_type,filename,pages,status,cost_cents,cached,quality_score
2026-04-04T03:58:20.619110+00:00,PiQQHvQJPYuHj8M18RmN0g,convert,marker_high_accuracy,"Sdb_EU-REACH_WaterShield™_15-3015, 15-3020, 15-3050_V3_en_DE_SDScomXMLChem.pdf",10,success,5.0000,false,4.60
2026-04-01T19:52:00.834546+00:00,QcRzGVOl1uqGQP6dtpWv2g,custom_pipeline,marker_high_accuracy,SDS_Mycoplasma_Off_15-5xxx_en_DE_Ver.05.pdf,11,success,5.0000,false,
2026-04-01T01:57:28.325794+00:00,wa9-AGl7qKwVNBqZMOCf_g,custom_pipeline,marker_high_accuracy,SDS_Mycoplasma_Off_15-5xxx_en_DE_Ver.05.pdf,11,success,5.0000,false,
2026-03-31T22:00:35.524665+00:00,WuRRnxchpmaQ7385xbTGpA,custom_pipeline,marker_high_accuracy,SDS_Mycoplasma_Off_15-5xxx_en_DE_Ver.05.pdf,11,success,5.0000,false,
2026-03-30T00:15:00.907362+00:00,n1HAWWmzzxgX_hKHZA4xSg,marker_checkpoint_extraction_gen_schemas,marker_checkpoint_extraction_gen_schemas,,10,success,2.0000,false,
2026-03-29T22:57:24.746248+00:00,2NCmP6ZOeiOytoHVzuoB_A,convert,marker,SDS_Mycoplasma_Off_15-5xxx_en_DE_Ver.05.pdf,11,success,4.0000,false,4.80
2026-03-29T16:45:15.158553+00:00,zJR3b1Ckfz5HP8c_G7V5zw,convert,marker,SDS_Mycoplasma_Off_15-5xxx_en_DE_Ver.05.pdf,11,success,4.0000,false,4.70
2026-03-29T16:45:14.806541+00:00,tEzeg1AehJutdmP6KW_m7Q,convert,marker,SDS_Mycoplasma_Off_15-5xxx_en_DE_Ver.05.pdf,11,success,4.0000,false,4.70
2026-03-29T16:45:14.373744+00:00,iGobMdzAqE4CgFOiEQitig,convert,marker,SDS_Mycoplasma_Off_15-5xxx_en_DE_Ver.05.pdf,11,success,4.0000,false,4.60
2026-03-29T16:45:13.282570+00:00,eNG2dIFHLc_tQ8A9BYICNg,convert,marker,SDS_Mycoplasma_Off_15-5xxx_en_DE_Ver.05.pdf,11,success,4.0000,false,4.70
2026-03-29T16:45:07.177308+00:00,PjH03Je9PvuqdX2DA27h4g,convert,marker,SDS_Mycoplasma_Off_15-5xxx_en_DE_Ver.05.pdf,11,success,4.0000,false,4.70
2026-03-29T16:44:59.589726+00:00,OEUEZ0BT_i5KhHO-Am3wBA,convert,marker,SDS_Mycoplasma_Off_15-5xxx_en_DE_Ver.05.pdf,11,success,4.0000,false,4.70
2026-03-29T12:37:38.053252+00:00,76ynS-vuiB_bWRhfRnGU7w,convert,marker,SDS_Mycoplasma_Off_15-5xxx_en_DE_Ver.05.pdf,11,success,4.0000,false,4.80
2026-03-29T12:19:25.233326+00:00,18nPYb5TQwRNb919VnMS2Q,convert,marker,pdf_98b588c5fa1d037a_SDS_Mycoplasma_Off_15-5xxx_en_DE_Ver.05.pdf,11,success,4.0000,false,4.80
2026-03-29T12:15:29.976065+00:00,HBq-lJg2ujozgmAvRsiD-w,convert,marker,pdf_d1f44d3af1897a2c_SDS_Mycoplasma_Off_15-5xxx_en_DE_Ver.05.pdf,11,success,4.0000,false,4.70
2026-03-29T12:05:37.151685+00:00,50xVINkK3zCcE5_OjLI4JA,convert,marker,pdf_43a7864829b7b883_SDS_Mycoplasma_Off_15-5xxx_en_DE_Ver.05.pdf,11,success,4.0000,false,4.60
2026-03-29T11:22:27.622120+00:00,1JJMZ7Etkf2ZbkWdPzkPuw,convert,marker,pdf_d807078589f7bab8_SDS_Mycoplasma_Off_15-5xxx_en_DE_Ver.05.pdf,11,success,4.0000,false,4.60
2026-03-29T11:22:25.500129+00:00,dKmQCKbBjJmeY5M43OXHZQ,convert,marker,pdf_5f3c6b41fff6e54b_SDS_Mycoplasma_Off_15-5xxx_en_DE_Ver.05.pdf,11,success,4.0000,false,4.60
2026-03-29T11:22:15.301251+00:00,hhoSZLNhIWddJg8ReicvAw,convert,marker,pdf_8001267fad6974f8_SDS_Mycoplasma_Off_15-5xxx_en_DE_Ver.05.pdf,11,success,4.0000,false,4.70
2026-03-29T02:04:21.352895+00:00,_agppDu9i0FuEFEaTnyFtg,convert,marker,SDS_Mycoplasma_Off_15-5xxx_en_DE_Ver.05.pdf,11,success,4.0000,false,4.90
2026-03-28T22:37:34.723471+00:00,hDjVxDFE6ov7_HF95DxFeA,convert,marker,SDS_Mycoplasma_Off_15-5xxx_en_DE_Ver.05.pdf,11,success,4.0000,false,4.70
